frequency,sf,bandwidth,tx_power,sent,received,crc_ok,crc_fail,prr,avg_rssi,min_rssi,max_rssi,avg_snr,min_snr,max_snr,status
490.0,5,125.0,-1,100,100,100,0,100.00,-103.59,-106.0,-101.0,8.31,7.0,10.0,OK
490.0,6,125.0,3,100,100,100,0,100.00,-97.49,-101.0,-96.0,11.92,10.0,13.0,OK
490.0,7,125.0,-3,100,100,100,0,100.00,-101.75,-102.0,-101.0,11.26,10.0,12.0,OK
490.0,8,125.0,-3,100,100,100,0,100.00,-102.5,-104.0,-101.0,11.91,11.0,13.0,OK
490.0,9,125.0,-3,100,100,100,0,100.00,-102.96,-103.0,-102.0,10.64,10.0,11.0,OK
490.0,10,125.0,-3,100,100,100,0,100.00,-103.0,-104.0,-102.0,9.54,9.0,10.0,OK
490.0,11,125.0,-2,100,99,99,0,99.00,-102.0,-102.0,-102.0,8.0,8.0,8.0,OK
490.0,12,125.0,-2,100,100,100,0,100.00,-102.0,-102.0,-102.0,6.51,6.0,7.0,OK
490.0,5,250.0,-3,100,100,100,0,100.00,-102.84,-103.0,-102.0,7.05,6.0,8.0,OK
490.0,6,250.0,-3,100,100,100,0,100.00,-102.97,-103.0,-102.0,8.12,7.0,9.0,OK
490.0,7,250.0,-3,100,100,100,0,100.00,-102.93,-103.0,-102.0,8.87,8.0,9.0,OK
490.0,8,250.0,-3,100,100,100,0,100.00,-102.99,-103.0,-102.0,9.0,8.0,10.0,OK
490.0,9,250.0,-3,100,100,100,0,100.00,-103.0,-103.0,-103.0,8.06,7.0,9.0,OK
490.0,10,250.0,-2,100,100,100,0,100.00,-101.99,-102.0,-101.0,9.01,8.0,10.0,OK
490.0,11,250.0,-3,100,100,100,0,100.00,-103.0,-103.0,-103.0,6.16,6.0,8.0,OK
490.0,12,250.0,-3,100,100,100,0,100.00,-103.0,-103.0,-103.0,6.15,5.0,7.0,OK
490.0,5,400.0,-6,100,100,100,0,100.00,-104.55,-105.0,-104.0,4.23,3.0,5.0,OK
490.0,6,400.0,-4,100,100,100,0,100.00,-103.0,-103.0,-103.0,6.28,5.0,7.0,OK
490.0,7,400.0,-4,100,100,100,0,100.00,-103.0,-103.0,-103.0,6.38,6.0,7.0,OK
490.0,8,400.0,-3,100,100,100,0,100.00,-102.09,-103.0,-102.0,7.1,6.0,8.0,OK
490.0,9,400.0,-3,100,100,100,0,100.00,-102.04,-103.0,-102.0,6.62,6.0,7.0,OK
490.0,10,400.0,-4,100,100,100,0,100.00,-103.0,-103.0,-103.0,5.86,5.0,6.0,OK
490.0,11,400.0,-3,100,100,100,0,100.00,-102.0,-102.0,-102.0,4.99,4.0,5.0,OK
490.0,12,400.0,-4,100,100,100,0,100.00,-103.0,-103.0,-103.0,3.52,3.0,5.0,OK
490.0,5,500.0,-4,100,100,100,0,100.00,-103.0,-103.0,-103.0,4.57,4.0,6.0,OK
490.0,6,500.0,-3,100,100,100,0,100.00,-102.0,-102.0,-102.0,6.21,5.0,7.0,OK
490.0,7,500.0,-3,100,100,100,0,100.00,-102.0,-102.0,-102.0,6.54,6.0,7.0,OK
490.0,8,500.0,-3,100,100,100,0,100.00,-102.0,-102.0,-102.0,6.6,6.0,7.0,OK
490.0,9,500.0,-3,100,100,100,0,100.00,-102.0,-102.0,-102.0,5.92,5.0,7.0,OK
490.0,10,500.0,-3,100,100,100,0,100.00,-102.01,-103.0,-102.0,5.98,5.0,7.0,OK
490.0,11,500.0,-3,100,100,100,0,100.00,-102.06,-103.0,-102.0,4.5,4.0,5.0,OK
490.0,12,500.0,-3,100,100,100,0,100.00,-102.02,-103.0,-102.0,4.0,4.0,4.0,OK
900.0,5,125.0,-9,100,94,52,42,52.00,-100.7127659574468,-101.0,-100.0,-3.202127659574468,-4.0,-2.0,OK
900.0,6,125.0,-6,100,100,100,0,100.00,-99.89,-100.0,-99.0,-1.1,-2.0,0.0,OK
900.0,7,125.0,-9,100,100,100,0,100.00,-100.65,-101.0,-100.0,-3.57,-5.0,-2.0,OK
900.0,8,125.0,-9,100,100,100,0,100.00,-100.39,-101.0,-100.0,-3.07,-4.0,-1.0,OK
900.0,9,125.0,-9,100,100,100,0,100.00,-100.08,-101.0,-100.0,-2.36,-6.0,-1.0,OK
900.0,10,125.0,-9,100,100,100,0,100.00,-100.05,-101.0,-99.0,-2.31,-4.0,0.0,OK
900.0,11,125.0,-9,100,100,100,0,100.00,-100.32,-101.0,-99.0,-3.49,-5.0,-1.0,OK
900.0,12,125.0,-6,100,100,100,0,100.00,-99.14,-101.0,-98.0,-0.7,-4.0,0.0,OK
900.0,5,250.0,-9,100,99,77,22,77.00,-98.82828282828282,-99.0,-98.0,-2.707070707070707,-4.0,-1.0,OK
900.0,6,250.0,-9,100,100,100,0,100.00,-98.95,-100.0,-98.0,-2.58,-5.0,-1.0,OK
900.0,7,250.0,-9,100,99,99,0,99.00,-99.4040404040404,-100.0,-99.0,-4.090909090909091,-6.0,-2.0,OK
900.0,8,250.0,-9,100,100,100,0,100.00,-99.22,-100.0,-99.0,-4.21,-5.0,-3.0,OK
900.0,9,250.0,-9,100,100,100,0,100.00,-99.01,-100.0,-99.0,-3.72,-6.0,-2.0,OK
900.0,10,250.0,-9,100,100,100,0,100.00,-99.0,-99.0,-99.0,-3.81,-5.0,-3.0,OK
900.0,11,250.0,-9,100,100,100,0,100.00,-99.09,-100.0,-99.0,-4.2,-7.0,-3.0,OK
900.0,12,250.0,-9,100,100,100,0,100.00,-100.1,-101.0,-99.0,-6.74,-11.0,-3.0,OK
900.0,5,400.0,-8,100,15,0,15,0.00,-99.2,-100.0,-99.0,-5.133333333333334,-6.0,-3.0,OK
900.0,6,400.0,-9,100,95,56,39,56.00,-99.05263157894737,-100.0,-97.0,-4.842105263157895,-10.0,-1.0,OK
900.0,7,400.0,-9,100,100,100,0,100.00,-97.92,-98.0,-97.0,-2.28,-4.0,-1.0,OK
900.0,8,400.0,-9,100,100,100,0,100.00,-97.88,-98.0,-97.0,-2.03,-4.0,-1.0,OK
900.0,9,400.0,-9,100,100,100,0,100.00,-97.98,-98.0,-97.0,-2.14,-4.0,-2.0,OK
900.0,10,400.0,-9,100,100,100,0,100.00,-97.82,-98.0,-97.0,-2.15,-4.0,-1.0,OK
900.0,11,400.0,-9,100,100,100,0,100.00,-98.0,-98.0,-98.0,-3.1,-5.0,-2.0,OK
900.0,12,400.0,-9,100,99,99,0,99.00,-98.0,-98.0,-98.0,-3.4242424242424243,-5.0,-3.0,OK
