SF,payload_size,packets_sent,packets_received,PRR(%),throughput_bps,theoretical_throughput_bps,avg_rssi,avg_snr,toa_ms,total_duration_s
5,20,100,100,100.00,6092.01,15625.00,-39.00,10.22,117.98,2.63
5,40,100,100,100.00,8670.65,15625.00,-39.00,10.26,128.22,3.69
5,80,100,100,100.00,11231.76,15625.00,-39.00,10.15,148.70,5.70
5,160,100,100,100.00,13040.61,15625.00,-39.00,10.26,189.66,9.82
5,250,100,100,100.00,13786.29,15625.00,-39.00,10.28,235.74,14.51
6,20,100,100,100.00,3888.86,9375.00,-39.00,12.86,130.85,4.11
6,40,100,100,100.00,5588.93,9375.00,-39.00,12.70,148.77,5.73
6,80,100,100,100.00,6945.79,9375.00,-39.00,12.92,182.05,9.21
6,160,100,100,100.00,8041.39,9375.00,-39.00,12.79,251.17,15.92
6,250,100,100,100.00,8390.37,9375.00,-39.00,12.85,327.97,23.84
7,20,100,100,100.00,2452.11,5468.75,-39.00,14.89,156.58,6.53
7,40,100,100,100.00,3274.20,5468.75,-39.00,14.78,182.18,9.77
7,80,100,100,100.00,4185.98,5468.75,-39.00,14.77,243.62,15.29
7,160,100,100,100.00,4662.82,5468.75,-39.00,14.88,361.38,27.45
7,250,100,100,100.00,5004.63,5468.75,-39.00,14.71,489.38,39.96
8,20,100,100,100.00,1412.55,3125.00,-39.00,15.15,202.91,11.33
8,40,100,100,100.00,1961.04,3125.00,-39.00,15.49,254.11,16.32
8,80,100,100,100.00,2400.43,3125.00,-39.00,15.28,356.51,26.66
8,160,100,100,100.00,2716.84,3125.00,-39.00,15.25,561.31,47.11
8,250,100,100,100.00,2868.53,3125.00,-39.00,15.31,786.59,69.72
